TeamID,TeamName,FirstD1Season,LastD1Season
1101,Abilene Chr,2014,2025
1102,Air Force,1985,2025
1103,Akron,1985,2025
1104,Alabama,1985,2025
1105,Alabama A&M,2000,2025
1106,Alabama St,1985,2025
1107,SUNY Albany,2000,2025
1108,Alcorn St,1985,2025
1109,Alliant Intl,1985,1991
1110,American Univ,1985,2025
1111,Appalachian St,1985,2025
1112,Arizona,1985,2025
1113,Arizona St,1985,2025
1114,Ark Little Rock,1985,2025
1115,Ark Pine Bluff,1999,2025
1116,Arkansas,1985,2025
1117,Arkansas St,1985,2025
1118,Armstrong St,1987,1987
1119,Army,1985,2025
1120,Auburn,1985,2025
1121,Augusta,1985,1991
1122,Austin Peay,1985,2025
1123,Ball St,1985,2025
1124,Baylor,1985,2025
1125,Belmont,2000,2025
1126,Bethune-Cookman,1985,2025
1127,Binghamton,2002,2025
1128,Birmingham So,2003,2006
1129,Boise St,1985,2025
1130,Boston College,1985,2025
1131,Boston Univ,1985,2025
1132,Bowling Green,1985,2025
1133,Bradley,1985,2025
1134,Brooklyn,1985,1992
1135,Brown,1985,2025
1136,Bryant,2009,2025
1137,Bucknell,1985,2025
1138,Buffalo,1992,2025
1139,Butler,1985,2025
1140,BYU,1985,2025
1141,C Michigan,1985,2025
1142,Cal Poly,1995,2025
1143,California,1985,2025
1144,Campbell,1985,2025
1145,Canisius,1985,2025
1146,Cent Arkansas,2007,2025
1147,Centenary,1985,2011
1148,Central Conn,1987,2025
1149,Charleston So,1985,2025
1150,Charlotte,1985,2025
1151,Chattanooga,1985,2025
1152,Chicago St,1985,2025
1153,Cincinnati,1985,2025
1154,Citadel,1985,2025
1155,Clemson,1985,2025
1156,Cleveland St,1985,2025
1157,Coastal Car,1987,2025
1158,Col Charleston,1992,2025
1159,Colgate,1985,2025
1160,Colorado,1985,2025
1161,Colorado St,1985,2025
1162,Columbia,1985,2025
1163,Connecticut,1985,2025
1164,Coppin St,1986,2025
1165,Cornell,1985,2025
1166,Creighton,1985,2025
1167,CS Bakersfield,2008,2025
1168,CS Fullerton,1985,2025
1169,CS Northridge,1991,2025
1170,CS Sacramento,1992,2025
1171,Dartmouth,1985,2025
1172,Davidson,1985,2025
1173,Dayton,1985,2025
1174,Delaware,1985,2025
1175,Delaware St,1985,2025
1176,Denver,1999,2025
1177,DePaul,1985,2025
1178,Detroit,1985,2025
1179,Drake,1985,2025
1180,Drexel,1985,2025
1181,Duke,1985,2025
1182,Duquesne,1985,2025
1183,E Illinois,1985,2025
1184,E Kentucky,1985,2025
1185,E Michigan,1985,2025
1186,E Washington,1985,2025
1187,East Carolina,1985,2025
1188,SIUE,2009,2025
1189,Elon,2000,2025
1190,ETSU,1985,2025
1191,Evansville,1985,2025
1192,F Dickinson,1985,2025
1193,Fairfield,1985,2025
1194,FL Atlantic,1994,2025
1195,FGCU,2008,2025
1196,Florida,1985,2025
1197,Florida A&M,1985,2025
1198,Florida Intl,1988,2025
1199,Florida St,1985,2025
1200,Fordham,1985,2025
1201,Fresno St,1985,2025
1202,Furman,1985,2025
1203,G Washington,1985,2025
1204,Ga Southern,1985,2025
1205,Gardner Webb,2003,2025
1206,George Mason,1985,2025
1207,Georgetown,1985,2025
1208,Georgia,1985,2025
1209,Georgia St,1985,2025
1210,Georgia Tech,1985,2025
1211,Gonzaga,1985,2025
1212,Grambling,1985,2025
1213,Grand Canyon,2014,2025
1214,Hampton,1996,2025
1215,Hardin-Simmons,1985,1990
1216,Hartford,1985,2023
1217,Harvard,1985,2025
1218,Hawaii,1985,2025
1219,High Point,2000,2025
1220,Hofstra,1985,2025
1221,Holy Cross,1985,2025
1222,Houston,1985,2025
1223,Houston Chr,1985,2025
1224,Howard,1985,2025
1225,Idaho,1985,2025
1226,Idaho St,1985,2025
1227,IL Chicago,1985,2025
1228,Illinois,1985,2025
1229,Illinois St,1985,2025
1230,Incarnate Word,2014,2025
1231,Indiana,1985,2025
1232,Indiana St,1985,2025
1233,Iona,1985,2025
1234,Iowa,1985,2025
1235,Iowa St,1985,2025
1236,PFW,2003,2025
1237,IUPUI,1999,2025
1238,Jackson St,1985,2025
1239,Jacksonville,1985,2025
1240,Jacksonville St,1996,2025
1241,James Madison,1985,2025
1242,Kansas,1985,2025
1243,Kansas St,1985,2025
1244,Kennesaw,2006,2025
1245,Kent,1985,2025
1246,Kentucky,1985,2025
1247,La Salle,1985,2025
1248,Lafayette,1985,2025
1249,Lamar,1985,2025
1250,Lehigh,1985,2025
