ID,Pred,Team1ID,Team2ID,Team1Name,Team2Name,Team1ELO,Team2ELO,Team1Seed,Team2Seed
2023_3268_3376,0.6619445199331659,3376,3268,South Carolina,Maryland,2043.8496755017884,1859.4262219904858,1,2
2023_3323_3376,0.6950910930727983,3376,3323,South Carolina,Notre Dame,2043.8496755017884,1834.2364236562826,1,3
2023_3376_3417,0.7401221321796543,3376,3417,South Carolina,UCLA,2043.8496755017884,1759.3938164623714,1,4
2023_3328_3376,0.7716022268905596,3376,3328,South Carolina,Oklahoma,2043.8496755017884,1788.1489233205414,1,5
2023_3166_3376,0.7972417521740656,3376,3166,South Carolina,Creighton,2043.8496755017884,1778.7639577166096,1,6
2023_3112_3376,0.8351819852413841,3376,3112,South Carolina,Arizona,2043.8496755017884,1729.2507374325417,1,7
2023_3376_3378,0.8717853610929576,3376,3378,South Carolina,South Florida,2043.8496755017884,1783.1587423934077,1,8
2023_3266_3376,0.893168296557918,3376,3266,South Carolina,Marquette,2043.8496755017884,1719.3910434388056,1,9
2023_3376_3452,0.9244039400232433,3376,3452,South Carolina,West Virginia,2043.8496755017884,1665.0724564337702,1,10
2023_3228_3376,0.9437865225632894,3376,3228,South Carolina,Illinois,2043.8496755017884,1603.7412667052643,1,11
2023_3280_3376,0.944759210761379,3376,3280,South Carolina,Mississippi St,2043.8496755017884,1648.6825811607623,1,11
2023_3339_3376,0.9683606853323681,3376,3339,South Carolina,Portland,2043.8496755017884,1697.49527781994,1,12
2023_3170_3376,0.9752632629871368,3376,3170,South Carolina,CS Sacramento,2043.8496755017884,1613.0365458577303,1,13
2023_3376_3381,0.9765466701984405,3376,3381,South Carolina,Southern Utah,2043.8496755017884,1639.701958180419,1,14
2023_3221_3376,0.9762957346439362,3376,3221,South Carolina,Holy Cross,2043.8496755017884,1629.2629259481291,1,15
2023_3313_3376,0.9690569889545441,3376,3313,South Carolina,Norfolk St,2043.8496755017884,1602.2116912546117,1,16
2023_3376_3390,0.6059401392936707,3376,3390,South Carolina,Stanford,2043.8496755017884,1908.977300569646,1,1
2023_3234_3376,0.6569996589979548,3376,3234,South Carolina,Iowa,2043.8496755017884,1870.0390816644287,1,2
2023_3181_3376,0.6890152042006517,3376,3181,South Carolina,Duke,2043.8496755017884,1790.301488742785,1,3
2023_3376_3400,0.7242500411247379,3376,3400,South Carolina,Texas,2043.8496755017884,1815.9967388701339,1,4
2023_3257_3376,0.7695819572582201,3376,3257,South Carolina,Louisville,2043.8496755017884,1802.6606489162655,1,5
2023_3160_3376,0.8014195013310175,3376,3160,South Carolina,Colorado,2043.8496755017884,1747.8027385138969,1,6
2023_3199_3376,0.8360766807617851,3376,3199,South Carolina,Florida St,2043.8496755017884,1699.7348268401822,1,7
2023_3279_3376,0.8637140279230204,3376,3279,South Carolina,Mississippi,2043.8496755017884,1748.6337804634163,1,8
2023_3211_3376,0.8950223586383013,3376,3211,South Carolina,Gonzaga,2043.8496755017884,1827.899035685442,1,9
2023_3208_3376,0.923236791671574,3376,3208,South Carolina,Georgia,2043.8496755017884,1712.8913313664273,1,10
2023_3292_3376,0.9455932585557211,3376,3292,South Carolina,MTSU,2043.8496755017884,1777.2829997325239,1,11
2023_3179_3376,0.9675619830923778,3376,3179,South Carolina,Drake,2043.8496755017884,1697.4695442261514,1,12
2023_3187_3376,0.9757957112789154,3376,3187,South Carolina,East Carolina,2043.8496755017884,1632.975233621385,1,13
2023_3233_3376,0.9715797853469849,3376,3233,South Carolina,Iona,2043.8496755017884,1615.6976357645276,1,14
2023_3368_3376,0.9732062768936157,3376,3368,South Carolina,SE Louisiana,2043.8496755017884,1553.8846780379956,1,15
2023_3357_3376,0.9770451438426971,3376,3357,South Carolina,Sacred Heart,2043.8496755017884,1449.4167263331549,1,16
2023_3376_3380,0.9727935743331909,3376,3380,South Carolina,Southern Univ,2043.8496755017884,1517.4087938006023,1,16
2023_3231_3376,0.6084173679351808,3376,3231,South Carolina,Indiana,2043.8496755017884,1868.6504754692617,1,1
2023_3376_3428,0.6523407811483759,3376,3428,South Carolina,Utah,2043.8496755017884,1800.7318318752298,1,2
2023_3261_3376,0.6910690312479997,3376,3261,South Carolina,LSU,2043.8496755017884,1864.3183903367678,1,3
2023_3376_3437,0.726582221863187,3376,3437,South Carolina,Villanova,2043.8496755017884,1841.7034566384116,1,4
2023_3376_3450,0.7780203656330065,3376,3450,South Carolina,Washington St,2043.8496755017884,1765.8827084988868,1,5
2023_3276_3376,0.8011843908097009,3376,3276,South Carolina,Michigan,2043.8496755017884,1743.5697265353447,1,6
2023_3301_3376,0.8362983504357048,3376,3301,South Carolina,NC State,2043.8496755017884,1769.9034812206935,1,7
2023_3329_3376,0.854196119826707,3376,3329,South Carolina,Oklahoma St,2043.8496755017884,1661.836187921656,1,8
2023_3274_3376,0.8951249084296373,3376,3274,South Carolina,Miami FL,2043.8496755017884,1681.351650097899,1,9
2023_3343_3376,0.9258049471986889,3376,3343,South Carolina,Princeton,2043.8496755017884,1816.719582514641,1,10
2023_3376_3424,0.9477797059376943,3376,3424,South Carolina,UNLV,2043.8496755017884,1781.5098532864504,1,11
2023_3195_3376,0.9594970574217541,3376,3195,South Carolina,FL Gulf Coast,2043.8496755017884,1836.5510410618815,1,12
2023_3156_3376,0.9725747954845428,3376,3156,South Carolina,Cleveland St,2043.8496755017884,1736.7326765943915,1,13
2023_3218_3376,0.9767342162132263,3376,3218,South Carolina,Hawaii,2043.8496755017884,1578.9600184597623,1,14
2023_3205_3376,0.9696637046337128,3376,3205,South Carolina,Gardner Webb,2043.8496755017884,1677.3755202435086,1,15
2023_3284_3376,0.9763742339611053,3376,3284,South Carolina,Monmouth NJ,2043.8496755017884,1515.4270054614776,1,16
2023_3376_3399,0.976157511472702,3376,3399,South Carolina,Tennessee Tech,2043.8496755017884,1601.1950436554923,1,16
2023_3376_3439,0.6242976546287538,3376,3439,South Carolina,Virginia Tech,2043.8496755017884,1877.0771224285086,1,1
2023_3163_3376,0.6565335208734888,3376,3163,South Carolina,Connecticut,2043.8496755017884,1926.504762305338,1,2
2023_3326_3376,0.6969386284445787,3376,3326,South Carolina,Ohio St,2043.8496755017884,1808.8412260077441,1,3
2023_3376_3397,0.7305280791496402,3376,3397,South Carolina,Tennessee,2043.8496755017884,1787.1506340535723,1,4
2023_3235_3376,0.7769546643867449,3376,3235,South Carolina,Iowa St,2043.8496755017884,1792.7485871099263,1,5
2023_3314_3376,0.7989713001515131,3376,3314,South Carolina,North Carolina,2043.8496755017884,1745.964248895116,1,6
2023_3124_3376,0.8379349449696251,3376,3124,South Carolina,Baylor,2043.8496755017884,1709.7290295199857,1,7
2023_3376_3425,0.8659226780351725,3376,3425,South Carolina,USC,2043.8496755017884,1666.4430616873983,1,8
2023_3355_3376,0.8925814590277819,3376,3355,South Carolina,S Dakota St,2043.8496755017884,1782.9702056641402,1,9
2023_3104_3376,0.9199670596731304,3376,3104,South Carolina,Alabama,2043.8496755017884,1663.8092371165892,1,10
2023_3345_3376,0.9419369010289419,3376,3345,South Carolina,Purdue,2043.8496755017884,1629.805418842588,1,11
2023_3376_3385,0.9441600946744192,3376,3385,South Carolina,St John's,2043.8496755017884,1645.2328828958891,1,11
2023_3376_3405,0.9678944279986126,3376,3405,South Carolina,Toledo,2043.8496755017884,1813.7407826360668,1,12
2023_3376_3387,0.9743230891227722,3376,3387,South Carolina,St Louis,2043.8496755017884,1605.9385038294836,1,13
2023_3241_3376,0.9749172580242157,3376,3241,South Carolina,James Madison,2043.8496755017884,1678.2498124691901,1,14
2023_3376_3436,0.9744181883335113,3376,3436,South Carolina,Vermont,2043.8496755017884,1639.2393495950207,1,15
2023_3151_3376,0.9741634976863861,3376,3151,South Carolina,Chattanooga,2043.8496755017884,1510.9961838972956,1,16
2023_3268_3323,0.5233531261047739,3268,3323,Maryland,Notre Dame,1859.4262219904858,1834.2364236562826,2,3
2023_3268_3417,0.617164397725966,3268,3417,Maryland,UCLA,1859.4262219904858,1759.3938164623714,2,4
2023_3268_3328,0.6780612246965534,3268,3328,Maryland,Oklahoma,1859.4262219904858,1788.1489233205414,2,5
2023_3166_3268,0.6560280309095339,3268,3166,Maryland,Creighton,1859.4262219904858,1778.7639577166096,2,6
2023_3112_3268,0.7186918753649454,3268,3112,Maryland,Arizona,1859.4262219904858,1729.2507374325417,2,7
2023_3268_3378,0.8003576884092994,3268,3378,Maryland,South Florida,1859.4262219904858,1783.1587423934077,2,8
2023_3266_3268,0.8260099624809352,3268,3266,Maryland,Marquette,1859.4262219904858,1719.3910434388056,2,9
2023_3268_3452,0.8837689719023851,3268,3452,Maryland,West Virginia,1859.4262219904858,1665.0724564337702,2,10
2023_3228_3268,0.900852803767979,3268,3228,Maryland,Illinois,1859.4262219904858,1603.7412667052643,2,11
2023_3268_3280,0.8869450433862804,3268,3280,Maryland,Mississippi St,1859.4262219904858,1648.6825811607623,2,11
2023_3268_3339,0.9423139898141134,3268,3339,Maryland,Portland,1859.4262219904858,1697.49527781994,2,12
2023_3170_3268,0.9628473450976116,3268,3170,Maryland,CS Sacramento,1859.4262219904858,1613.0365458577303,2,13
2023_3268_3381,0.9708665263652801,3268,3381,Maryland,Southern Utah,1859.4262219904858,1639.701958180419,2,14
2023_3221_3268,0.9715585362911224,3268,3221,Maryland,Holy Cross,1859.4262219904858,1629.2629259481291,2,15
2023_3268_3313,0.9556351256370544,3268,3313,Maryland,Norfolk St,1859.4262219904858,1602.2116912546117,2,16
2023_3268_3390,0.37171182462960317,3268,3390,Maryland,Stanford,1859.4262219904858,1908.977300569646,2,1
2023_3234_3268,0.4680718541145325,3268,3234,Maryland,Iowa,1859.4262219904858,1870.0390816644287,2,2
2023_3181_3268,0.5033157805165667,3268,3181,Maryland,Duke,1859.4262219904858,1790.301488742785,2,3
2023_3268_3400,0.492803493628409,3268,3400,Maryland,Texas,1859.4262219904858,1815.9967388701339,2,4
2023_3257_3268,0.5978120045637256,3268,3257,Maryland,Louisville,1859.4262219904858,1802.6606489162655,2,5
2023_3160_3268,0.7108734683170275,3268,3160,Maryland,Colorado,1859.4262219904858,1747.8027385138969,2,6
2023_3199_3268,0.7334365594650964,3268,3199,Maryland,Florida St,1859.4262219904858,1699.7348268401822,2,7
2023_3268_3279,0.7351870575966545,3268,3279,Maryland,Mississippi,1859.4262219904858,1748.6337804634163,2,8
2023_3211_3268,0.7708428090032664,3268,3211,Maryland,Gonzaga,1859.4262219904858,1827.899035685442,2,9
2023_3208_3268,0.8602224699082521,3268,3208,Maryland,Georgia,1859.4262219904858,1712.8913313664273,2,10
2023_3268_3292,0.8833992375743984,3268,3292,Maryland,MTSU,1859.4262219904858,1777.2829997325239,2,11
2023_3179_3268,0.935969611819576,3268,3179,Maryland,Drake,1859.4262219904858,1697.4695442261514,2,12
2023_3187_3268,0.95184751652057,3268,3187,Maryland,East Carolina,1859.4262219904858,1632.975233621385,2,13
2023_3233_3268,0.9610199582576752,3268,3233,Maryland,Iona,1859.4262219904858,1615.6976357645276,2,14
2023_3268_3368,0.9664831709861755,3268,3368,Maryland,SE Louisiana,1859.4262219904858,1553.8846780379956,2,15
2023_3268_3357,0.9736499440670013,3268,3357,Maryland,Sacred Heart,1859.4262219904858,1449.4167263331549,2,16
2023_3268_3380,0.9688098680973053,3268,3380,Maryland,Southern Univ,1859.4262219904858,1517.4087938006023,2,16
2023_3231_3268,0.3940219810047729,3268,3231,Maryland,Indiana,1859.4262219904858,1868.6504754692617,2,1
2023_3268_3428,0.4766665011644364,3268,3428,Maryland,Utah,1859.4262219904858,1800.7318318752298,2,2
2023_3261_3268,0.47324104255050603,3268,3261,Maryland,LSU,1859.4262219904858,1864.3183903367678,2,3
2023_3268_3437,0.537791134903338,3268,3437,Maryland,Villanova,1859.4262219904858,1841.7034566384116,2,4
2023_3268_3450,0.6712949352239734,3268,3450,Maryland,Washington St,1859.4262219904858,1765.8827084988868,2,5
2023_3268_3276,0.7151695922985033,3268,3276,Maryland,Michigan,1859.4262219904858,1743.5697265353447,2,6
2023_3268_3301,0.7008831399943094,3268,3301,Maryland,NC State,1859.4262219904858,1769.9034812206935,2,7
2023_3268_3329,0.7823928037705131,3268,3329,Maryland,Oklahoma St,1859.4262219904858,1661.836187921656,2,8
2023_3268_3274,0.8447485750135508,3268,3274,Maryland,Miami FL,1859.4262219904858,1681.351650097899,2,9
2023_3268_3343,0.8146902135434297,3268,3343,Maryland,Princeton,1859.4262219904858,1816.719582514641,2,10
2023_3268_3424,0.9085068150175213,3268,3424,Maryland,UNLV,1859.4262219904858,1781.5098532864504,2,11
2023_3195_3268,0.8945296762545812,3268,3195,Maryland,FL Gulf Coast,1859.4262219904858,1836.5510410618815,2,12
2023_3156_3268,0.9343458642798168,3268,3156,Maryland,Cleveland St,1859.4262219904858,1736.7326765943915,2,13
2023_3218_3268,0.9730926704406738,3268,3218,Maryland,Hawaii,1859.4262219904858,1578.9600184597623,2,14
2023_3205_3268,0.9546139490604401,3268,3205,Maryland,Gardner Webb,1859.4262219904858,1677.3755202435086,2,15
2023_3268_3284,0.9721531522274017,3268,3284,Maryland,Monmouth NJ,1859.4262219904858,1515.4270054614776,2,16
2023_3268_3399,0.9708169054985046,3268,3399,Maryland,Tennessee Tech,1859.4262219904858,1601.1950436554923,2,16
2023_3268_3439,0.4503850495257957,3268,3439,Maryland,Virginia Tech,1859.4262219904858,1877.0771224285086,2,1
2023_3163_3268,0.45369892418384555,3268,3163,Maryland,Connecticut,1859.4262219904858,1926.504762305338,2,2
2023_3268_3326,0.5290182942709345,3268,3326,Maryland,Ohio St,1859.4262219904858,1808.8412260077441,2,3
2023_3268_3397,0.5972064082716966,3268,3397,Maryland,Tennessee,1859.4262219904858,1787.1506340535723,2,4
2023_3235_3268,0.6171578841184742,3268,3235,Maryland,Iowa St,1859.4262219904858,1792.7485871099263,2,5
2023_3268_3314,0.6641368404998735,3268,3314,Maryland,North Carolina,1859.4262219904858,1745.964248895116,2,6
2023_3124_3268,0.7481263476874094,3268,3124,Maryland,Baylor,1859.4262219904858,1709.7290295199857,2,7
2023_3268_3425,0.7903870085301109,3268,3425,Maryland,USC,1859.4262219904858,1666.4430616873983,2,8
2023_3268_3355,0.7957614397224513,3268,3355,Maryland,S Dakota St,1859.4262219904858,1782.9702056641402,2,9
2023_3104_3268,0.8405346087041048,3268,3104,Maryland,Alabama,1859.4262219904858,1663.8092371165892,2,10
2023_3268_3345,0.9030394299638866,3268,3345,Maryland,Purdue,1859.4262219904858,1629.805418842588,2,11
2023_3268_3385,0.9047763391149639,3268,3385,Maryland,St John's,1859.4262219904858,1645.2328828958891,2,11
2023_3268_3405,0.922017386372875,3268,3405,Maryland,Toledo,1859.4262219904858,1813.7407826360668,2,12
2023_3268_3387,0.9609613349276287,3268,3387,Maryland,St Louis,1859.4262219904858,1605.9385038294836,2,13
2023_3241_3268,0.9637220752239227,3268,3241,Maryland,James Madison,1859.4262219904858,1678.2498124691901,2,14
2023_3268_3436,0.9636425924301147,3268,3436,Maryland,Vermont,1859.4262219904858,1639.2393495950207,2,15
2023_3151_3268,0.9729528975486755,3268,3151,Maryland,Chattanooga,1859.4262219904858,1510.9961838972956,2,16
2023_3323_3417,0.6054377967676539,3323,3417,Notre Dame,UCLA,1834.2364236562826,1759.3938164623714,3,4
2023_3323_3328,0.6165028308724427,3323,3328,Notre Dame,Oklahoma,1834.2364236562826,1788.1489233205414,3,5
2023_3166_3323,0.6266343371843464,3323,3166,Notre Dame,Creighton,1834.2364236562826,1778.7639577166096,3,6
2023_3112_3323,0.726226388014789,3323,3112,Notre Dame,Arizona,1834.2364236562826,1729.2507374325417,3,7
2023_3323_3378,0.7561738539005975,3323,3378,Notre Dame,South Florida,1834.2364236562826,1783.1587423934077,3,8
2023_3266_3323,0.785914231282682,3323,3266,Notre Dame,Marquette,1834.2364236562826,1719.3910434388056,3,9
2023_3323_3452,0.8483949785646525,3323,3452,Notre Dame,West Virginia,1834.2364236562826,1665.0724564337702,3,10
2023_3228_3323,0.8803807160678057,3323,3228,Notre Dame,Illinois,1834.2364236562826,1603.7412667052643,3,11
2023_3280_3323,0.8560523352446703,3323,3280,Notre Dame,Mississippi St,1834.2364236562826,1648.6825811607623,3,11
2023_3323_3339,0.9218509240759014,3323,3339,Notre Dame,Portland,1834.2364236562826,1697.49527781994,3,12
2023_3170_3323,0.9466244785149801,3323,3170,Notre Dame,CS Sacramento,1834.2364236562826,1613.0365458577303,3,13
2023_3323_3381,0.9656687905626995,3323,3381,Notre Dame,Southern Utah,1834.2364236562826,1639.701958180419,3,14
2023_3221_3323,0.974877233505249,3323,3221,Notre Dame,Holy Cross,1834.2364236562826,1629.2629259481291,3,15
2023_3313_3323,0.9653900516033173,3323,3313,Notre Dame,Norfolk St,1834.2364236562826,1602.2116912546117,3,16
2023_3323_3390,0.31047683831105016,3323,3390,Notre Dame,Stanford,1834.2364236562826,1908.977300569646,3,1
2023_3234_3323,0.469954371992646,3323,3234,Notre Dame,Iowa,1834.2364236562826,1870.0390816644287,3,2
2023_3181_3323,0.43668558299541477,3323,3181,Notre Dame,Duke,1834.2364236562826,1790.301488742785,3,3
2023_3323_3400,0.463086452539863,3323,3400,Notre Dame,Texas,1834.2364236562826,1815.9967388701339,3,4
2023_3257_3323,0.5867009853219056,3323,3257,Notre Dame,Louisville,1834.2364236562826,1802.6606489162655,3,5
2023_3160_3323,0.6749256925558216,3323,3160,Notre Dame,Colorado,1834.2364236562826,1747.8027385138969,3,6
2023_3199_3323,0.699749349154468,3323,3199,Notre Dame,Florida St,1834.2364236562826,1699.7348268401822,3,7
2023_3279_3323,0.71763249221103,3323,3279,Notre Dame,Mississippi,1834.2364236562826,1748.6337804634163,3,8
2023_3211_3323,0.7613072136463829,3323,3211,Notre Dame,Gonzaga,1834.2364236562826,1827.899035685442,3,9
2023_3208_3323,0.8311674033817378,3323,3208,Notre Dame,Georgia,1834.2364236562826,1712.8913313664273,3,10
2023_3292_3323,0.833476912123218,3323,3292,Notre Dame,MTSU,1834.2364236562826,1777.2829997325239,3,11
2023_3179_3323,0.9102847023618816,3323,3179,Notre Dame,Drake,1834.2364236562826,1697.4695442261514,3,12
2023_3187_3323,0.9473791925271261,3323,3187,Notre Dame,East Carolina,1834.2364236562826,1632.975233621385,3,13
2023_3233_3323,0.959435247405122,3323,3233,Notre Dame,Iona,1834.2364236562826,1615.6976357645276,3,14
2023_3323_3368,0.968401129245758,3323,3368,Notre Dame,SE Louisiana,1834.2364236562826,1553.8846780379956,3,15
2023_3323_3357,0.9738907468318939,3323,3357,Notre Dame,Sacred Heart,1834.2364236562826,1449.4167263331549,3,16
2023_3323_3380,0.9693110835552216,3323,3380,Notre Dame,Southern Univ,1834.2364236562826,1517.4087938006023,3,16
2023_3231_3323,0.3707402373457887,3323,3231,Notre Dame,Indiana,1834.2364236562826,1868.6504754692617,3,1
2023_3323_3428,0.4618681823649986,3323,3428,Notre Dame,Utah,1834.2364236562826,1800.7318318752298,3,2
2023_3261_3323,0.4467085957527161,3323,3261,Notre Dame,LSU,1834.2364236562826,1864.3183903367678,3,3
2023_3323_3437,0.5156386310419458,3323,3437,Notre Dame,Villanova,1834.2364236562826,1841.7034566384116,3,4
2023_3323_3450,0.6398231481408143,3323,3450,Notre Dame,Washington St,1834.2364236562826,1765.8827084988868,3,5
2023_3276_3323,0.6948804484581119,3323,3276,Notre Dame,Michigan,1834.2364236562826,1743.5697265353447,3,6
2023_3301_3323,0.6595302210226015,3323,3301,Notre Dame,NC State,1834.2364236562826,1769.9034812206935,3,7
2023_3323_3329,0.7555206913019876,3323,3329,Notre Dame,Oklahoma St,1834.2364236562826,1661.836187921656,3,8
2023_3274_3323,0.8144939282955833,3323,3274,Notre Dame,Miami FL,1834.2364236562826,1681.351650097899,3,9
2023_3323_3343,0.8003294055875865,3323,3343,Notre Dame,Princeton,1834.2364236562826,1816.719582514641,3,10
2023_3323_3424,0.862669017058864,3323,3424,Notre Dame,UNLV,1834.2364236562826,1781.5098532864504,3,11
2023_3195_3323,0.8843905522239803,3323,3195,Notre Dame,FL Gulf Coast,1834.2364236562826,1836.5510410618815,3,12
2023_3156_3323,0.935101589377712,3323,3156,Notre Dame,Cleveland St,1834.2364236562826,1736.7326765943915,3,13
2023_3218_3323,0.9662122061091167,3323,3218,Notre Dame,Hawaii,1834.2364236562826,1578.9600184597623,3,14
2023_3205_3323,0.9656299304962158,3323,3205,Notre Dame,Gardner Webb,1834.2364236562826,1677.3755202435086,3,15
2023_3284_3323,0.9744631898403168,3323,3284,Notre Dame,Monmouth NJ,1834.2364236562826,1515.4270054614776,3,16
2023_3323_3399,0.9729858887195587,3323,3399,Notre Dame,Tennessee Tech,1834.2364236562826,1601.1950436554923,3,16
2023_3323_3439,0.42215469728956007,3323,3439,Notre Dame,Virginia Tech,1834.2364236562826,1877.0771224285086,3,1
2023_3163_3323,0.3888096144238098,3323,3163,Notre Dame,Connecticut,1834.2364236562826,1926.504762305338,3,2
2023_3323_3326,0.4928143680095673,3323,3326,Notre Dame,Ohio St,1834.2364236562826,1808.8412260077441,3,3
2023_3323_3397,0.5185111725887674,3323,3397,Notre Dame,Tennessee,1834.2364236562826,1787.1506340535723,3,4
2023_3235_3323,0.5878287499045396,3323,3235,Notre Dame,Iowa St,1834.2364236562826,1792.7485871099263,3,5
2023_3314_3323,0.6382346378540165,3323,3314,Notre Dame,North Carolina,1834.2364236562826,1745.964248895116,3,6
2023_3124_3323,0.7277491376771883,3323,3124,Notre Dame,Baylor,1834.2364236562826,1709.7290295199857,3,7
2023_3323_3425,0.7544001984860162,3323,3425,Notre Dame,USC,1834.2364236562826,1666.4430616873983,3,8
2023_3323_3355,0.785901237470121,3323,3355,Notre Dame,S Dakota St,1834.2364236562826,1782.9702056641402,3,9
2023_3104_3323,0.8244111423906413,3323,3104,Notre Dame,Alabama,1834.2364236562826,1663.8092371165892,3,10
2023_3323_3345,0.8718883058848528,3323,3345,Notre Dame,Purdue,1834.2364236562826,1629.805418842588,3,11
2023_3323_3385,0.8694286904158739,3323,3385,Notre Dame,St John's,1834.2364236562826,1645.2328828958891,3,11
2023_3323_3405,0.8989094241273998,3323,3405,Notre Dame,Toledo,1834.2364236562826,1813.7407826360668,3,12
2023_3323_3387,0.9409747032483328,3323,3387,Notre Dame,St Louis,1834.2364236562826,1605.9385038294836,3,13
2023_3241_3323,0.9638517727690441,3323,3241,Notre Dame,James Madison,1834.2364236562826,1678.2498124691901,3,14
2023_3323_3436,0.9715263497829437,3323,3436,Notre Dame,Vermont,1834.2364236562826,1639.2393495950207,3,15
2023_3151_3323,0.9723183166980743,3323,3151,Notre Dame,Chattanooga,1834.2364236562826,1510.9961838972956,3,16
2023_3328_3417,0.5276654774507898,3417,3328,UCLA,Oklahoma,1759.3938164623714,1788.1489233205414,4,5
2023_3166_3417,0.5693555121516252,3417,3166,UCLA,Creighton,1759.3938164623714,1778.7639577166096,4,6
2023_3112_3417,0.6128782557224399,3417,3112,UCLA,Arizona,1759.3938164623714,1729.2507374325417,4,7
2023_3378_3417,0.7034621522798494,3417,3378,UCLA,South Florida,1759.3938164623714,1783.1587423934077,4,8
2023_3266_3417,0.7152767527367334,3417,3266,UCLA,Marquette,1759.3938164623714,1719.3910434388056,4,9
2023_3417_3452,0.818195913177938,3417,3452,UCLA,West Virginia,1759.3938164623714,1665.0724564337702,4,10
2023_3228_3417,0.8396744614061442,3417,3228,UCLA,Illinois,1759.3938164623714,1603.7412667052643,4,11
2023_3280_3417,0.8332507943328944,3417,3280,UCLA,Mississippi St,1759.3938164623714,1648.6825811607623,4,11
2023_3339_3417,0.8884531817259935,3417,3339,UCLA,Portland,1759.3938164623714,1697.49527781994,4,12
2023_3170_3417,0.9258838339460491,3417,3170,UCLA,CS Sacramento,1759.3938164623714,1613.0365458577303,4,13
2023_3381_3417,0.9460897056420553,3417,3381,UCLA,Southern Utah,1759.3938164623714,1639.701958180419,4,14
2023_3221_3417,0.9634846677618725,3417,3221,UCLA,Holy Cross,1759.3938164623714,1629.2629259481291,4,15
2023_3313_3417,0.96670090675354,3417,3313,UCLA,Norfolk St,1759.3938164623714,1602.2116912546117,4,16
2023_3390_3417,0.27128200289853766,3417,3390,UCLA,Stanford,1759.3938164623714,1908.977300569646,4,1
2023_3234_3417,0.3493638361597993,3417,3234,UCLA,Iowa,1759.3938164623714,1870.0390816644287,4,2
2023_3181_3417,0.425125010851918,3417,3181,UCLA,Duke,1759.3938164623714,1790.301488742785,4,3
2023_3400_3417,0.41939060240983966,3417,3400,UCLA,Texas,1759.3938164623714,1815.9967388701339,4,4
2023_3257_3417,0.5179081374964136,3417,3257,UCLA,Louisville,1759.3938164623714,1802.6606489162655,4,5
2023_3160_3417,0.5857690219973588,3417,3160,UCLA,Colorado,1759.3938164623714,1747.8027385138969,4,6
2023_3199_3417,0.6011968480323917,3417,3199,UCLA,Florida St,1759.3938164623714,1699.7348268401822,4,7
2023_3279_3417,0.6402996913566545,3417,3279,UCLA,Mississippi,1759.3938164623714,1748.6337804634163,4,8
2023_3211_3417,0.725683217075036,3417,3211,UCLA,Gonzaga,1759.3938164623714,1827.899035685442,4,9
2023_3208_3417,0.7638927737297722,3417,3208,UCLA,Georgia,1759.3938164623714,1712.8913313664273,4,10
2023_3292_3417,0.8239968305048075,3417,3292,UCLA,MTSU,1759.3938164623714,1777.2829997325239,4,11
2023_3179_3417,0.8674488625350145,3417,3179,UCLA,Drake,1759.3938164623714,1697.4695442261514,4,12
2023_3187_3417,0.9206537945879101,3417,3187,UCLA,East Carolina,1759.3938164623714,1632.975233621385,4,13
2023_3233_3417,0.9438575414975393,3417,3233,UCLA,Iona,1759.3938164623714,1615.6976357645276,4,14
2023_3368_3417,0.9659623434382183,3417,3368,UCLA,SE Louisiana,1759.3938164623714,1553.8846780379956,4,15
2023_3357_3417,0.9745184135437012,3417,3357,UCLA,Sacred Heart,1759.3938164623714,1449.4167263331549,4,16
2023_3380_3417,0.9701279652118683,3417,3380,UCLA,Southern Univ,1759.3938164623714,1517.4087938006023,4,16
2023_3231_3417,0.29506367501863195,3417,3231,UCLA,Indiana,1759.3938164623714,1868.6504754692617,4,1
2023_3417_3428,0.3988801712895372,3417,3428,UCLA,Utah,1759.3938164623714,1800.7318318752298,4,2
2023_3261_3417,0.41504348123460844,3417,3261,UCLA,LSU,1759.3938164623714,1864.3183903367678,4,3
2023_3417_3437,0.3957025393843651,3417,3437,UCLA,Villanova,1759.3938164623714,1841.7034566384116,4,4
2023_3417_3450,0.593660634215774,3417,3450,UCLA,Washington St,1759.3938164623714,1765.8827084988868,4,5
2023_3276_3417,0.5655151401852632,3417,3276,UCLA,Michigan,1759.3938164623714,1743.5697265353447,4,6
