ID,Pred,Team1ID,Team2ID,Team1Name,Team2Name,Team1ELO,Team2ELO,Team1Seed,Team2Seed
2024_1163_1235,0.7306609226671338,1163,1235,Connecticut,Iowa St,1955.6981114401428,1819.0023319193435,1,2
2024_1163_1228,0.7900106252448021,1163,1228,Connecticut,Illinois,1955.6981114401428,1784.2956472637227,1,3
2024_1120_1163,0.7959312938467971,1163,1120,Connecticut,Auburn,1955.6981114401428,1793.8134021646629,1,4
2024_1163_1361,0.8525212479703154,1163,1361,Connecticut,San Diego St,1955.6981114401428,1749.0065961110001,1,5
2024_1140_1163,0.9017989846795589,1163,1140,Connecticut,BYU,1955.6981114401428,1693.6502940625378,1,6
2024_1163_1450,0.914578905454753,1163,1450,Connecticut,Washington St,1955.6981114401428,1685.3184945379912,1,7
2024_1163_1194,0.8818206847750734,1163,1194,Connecticut,FL Atlantic,1955.6981114401428,1750.20452702202,1,8
2024_1163_1321,0.9285844684799697,1163,1321,Connecticut,Northwestern,1955.6981114401428,1665.7880515530726,1,9
2024_1163_1179,0.8720118379672483,1163,1179,Connecticut,Drake,1955.6981114401428,1764.0247090439525,1,10
2024_1163_1182,0.9315622361490119,1163,1182,Connecticut,Duquesne,1955.6981114401428,1658.8274891002904,1,11
2024_1163_1412,0.916294952690693,1163,1412,Connecticut,UAB,1955.6981114401428,1691.9488346004314,1,12
2024_1163_1463,0.92474422760892,1163,1463,Connecticut,Yale,1955.6981114401428,1674.379477395046,1,13
2024_1163_1287,0.9499388900789226,1163,1287,Connecticut,Morehead St,1955.6981114401428,1608.3297936801964,1,14
2024_1163_1355,0.953505727630482,1163,1355,Connecticut,S Dakota St,1955.6981114401428,1596.5247636870092,1,15
2024_1163_1391,0.9703459224753286,1163,1391,Connecticut,Stetson,1955.6981114401428,1525.5033531179756,1,16
2024_1163_1314,0.739986452414269,1163,1314,Connecticut,North Carolina,1955.6981114401428,1796.7183842336785,1,1
2024_1112_1163,0.7445654873042196,1163,1112,Connecticut,Arizona,1955.6981114401428,1808.0799474914206,1,2
2024_1124_1163,0.8121727130288352,1163,1124,Connecticut,Baylor,1955.6981114401428,1763.136713391782,1,3
2024_1104_1163,0.8216939474114536,1163,1104,Connecticut,Alabama,1955.6981114401428,1768.457710582419,1,4
2024_1163_1388,0.8162603639829211,1163,1388,Connecticut,St Mary's CA,1955.6981114401428,1789.029061560117,1,5
2024_1155_1163,0.918168930994734,1163,1155,Connecticut,Clemson,1955.6981114401428,1663.1965825094412,1,6
2024_1163_1173,0.9033333122461997,1163,1173,Connecticut,Dayton,1955.6981114401428,1705.9981956054135,1,7
2024_1163_1280,0.9301039058029997,1163,1280,Connecticut,Mississippi St,1955.6981114401428,1662.2706153949302,1,8
2024_1163_1277,0.9290863755515342,1163,1277,Connecticut,Michigan St,1955.6981114401428,1664.6338684936895,1,9
2024_1163_1305,0.8968524455823753,1163,1305,Connecticut,Nevada,1955.6981114401428,1726.9563900095893,1,10
2024_1163_1307,0.9134232113273528,1163,1307,Connecticut,New Mexico,1955.6981114401428,1697.5534117279865,1,11
2024_1163_1213,0.8937193758154633,1163,1213,Connecticut,Grand Canyon,1955.6981114401428,1732.036634427032,1,12
2024_1158_1163,0.8907401216941914,1163,1158,Connecticut,Col Charleston,1955.6981114401428,1736.7465056472172,1,13
2024_1159_1163,0.937081003991342,1163,1159,Connecticut,Colgate,1955.6981114401428,1645.1497388831576,1,14
2024_1163_1253,0.9682153864971125,1163,1253,Connecticut,Long Beach St,1955.6981114401428,1536.3838456317214,1,15
2024_1163_1224,0.9793722795383738,1163,1224,Connecticut,Howard,1955.6981114401428,1468.9243119213404,1,16
2024_1163_1447,0.9831373691168303,1163,1447,Connecticut,Wagner,1955.6981114401428,1437.7070067970449,1,16
2024_1163_1345,0.5615534411974956,1163,1345,Connecticut,Purdue,1955.6981114401428,1918.0820619455849,1,1
2024_1163_1397,0.7591778621491108,1163,1397,Connecticut,Tennessee,1955.6981114401428,1796.1716166367228,1,2
2024_1163_1166,0.800756661720335,1163,1166,Connecticut,Creighton,1955.6981114401428,1774.2572486824401,1,3
2024_1163_1242,0.7995219317817693,1163,1242,Connecticut,Kansas,1955.6981114401428,1790.430882041691,1,4
2024_1163_1211,0.7695262000415232,1163,1211,Connecticut,Gonzaga,1955.6981114401428,1832.4374644706545,1,5
2024_1163_1376,0.8927307527786531,1163,1376,Connecticut,South Carolina,1955.6981114401428,1708.6122694955204,1,6
2024_1163_1400,0.8906389008556975,1163,1400,Connecticut,Texas,1955.6981114401428,1726.9045336821805,1,7
2024_1163_1429,0.8756189637469437,1163,1429,Connecticut,Utah St,1955.6981114401428,1759.0517656316995,1,8
2024_1163_1395,0.9205696079378629,1163,1395,Connecticut,TCU,1955.6981114401428,1683.2736371228686,1,9
2024_1161_1163,0.9341957744196019,1163,1161,Connecticut,Colorado St,1955.6981114401428,1652.4336708176806,1,10
2024_1163_1438,0.9098914545945268,1163,1438,Connecticut,Virginia,1955.6981114401428,1704.2198489087848,1,10
2024_1163_1332,0.9142134155146069,1163,1332,Connecticut,Oregon,1955.6981114401428,1696.02823693555,1,11
2024_1163_1270,0.9526589072033318,1163,1270,Connecticut,McNeese St,1955.6981114401428,1599.4034076580233,1,12
2024_1163_1359,0.9148685769459461,1163,1359,Connecticut,Samford,1955.6981114401428,1694.7540251390158,1,13
2024_1103_1163,0.9462890169898589,1163,1103,Connecticut,Akron,1955.6981114401428,1619.611866900276,1,14
2024_1163_1389,0.9695291530809439,1163,1389,Connecticut,St Peter's,1955.6981114401428,1529.7613899190612,1,15
2024_1163_1212,0.9708732669021768,1163,1212,Connecticut,Grambling,1955.6981114401428,1522.6933430845452,1,16
2024_1163_1286,0.9728620119973664,1163,1286,Connecticut,Montana St,1955.6981114401428,1511.6323516504287,1,16
2024_1163_1222,0.5074625978552038,1163,1222,Connecticut,Houston,1955.6981114401428,1951.160423382593,1,1
2024_1163_1266,0.724373439262696,1163,1266,Connecticut,Marquette,1955.6981114401428,1823.8236033934306,1,2
2024_1163_1246,0.8258359907269635,1163,1246,Connecticut,Kentucky,1955.6981114401428,1749.1207241450747,1,3
2024_1163_1181,0.8223869313584635,1163,1181,Connecticut,Duke,1955.6981114401428,1767.737662533171,1,4
2024_1163_1458,0.8931797437948316,1163,1458,Connecticut,Wisconsin,1955.6981114401428,1692.8982739485298,1,5
2024_1163_1403,0.8815876742607062,1163,1403,Connecticut,Texas Tech,1955.6981114401428,1725.5441020131711,1,6
2024_1163_1196,0.902263164641121,1163,1196,Connecticut,Florida,1955.6981114401428,1707.8518773217063,1,7
2024_1163_1304,0.9236683750272462,1163,1304,Connecticut,Nebraska,1955.6981114401428,1676.714063191751,1,8
2024_1163_1401,0.9135680902828976,1163,1401,Connecticut,Texas A&M,1955.6981114401428,1697.2747268986864,1,9
2024_1129_1163,0.9121319048040736,1163,1129,Connecticut,Boise St,1955.6981114401428,1700.0188591915337,1,10
2024_1160_1163,0.9165264434647541,1163,1160,Connecticut,Colorado,1955.6981114401428,1691.489482772901,1,10
2024_1163_1301,0.9272206921513801,1163,1301,Connecticut,NC State,1955.6981114401428,1668.8867935722649,1,11
2024_1163_1241,0.8985926824275855,1163,1241,Connecticut,James Madison,1955.6981114401428,1724.075357479141,1,12
2024_1163_1436,0.9000890904366109,1163,1436,Connecticut,Vermont,1955.6981114401428,1721.5627066358347,1,13
2024_1163_1324,0.9544928472973288,1163,1324,Connecticut,Oakland,1955.6981114401428,1593.105556226391,1,14
2024_1163_1443,0.9629120637239676,1163,1443,Connecticut,WKU,1955.6981114401428,1560.6742255595832,1,15
2024_1163_1255,0.9723008602996382,1163,1255,Connecticut,Longwood,1955.6981114401428,1514.8310751595295,1,16
2024_1228_1235,0.5810319445500459,1235,1228,Iowa St,Illinois,1819.0023319193435,1784.2956472637227,2,3
2024_1120_1235,0.5897852620042566,1235,1120,Iowa St,Auburn,1819.0023319193435,1793.8134021646629,2,4
2024_1235_1361,0.6806011073078353,1235,1361,Iowa St,San Diego St,1819.0023319193435,1749.0065961110001,2,5
2024_1140_1235,0.7719573595528767,1235,1140,Iowa St,BYU,1819.0023319193435,1693.6502940625378,2,6
2024_1235_1450,0.7978470407582992,1235,1450,Iowa St,Washington St,1819.0023319193435,1685.3184945379912,2,7
2024_1194_1235,0.739756107803631,1235,1194,Iowa St,FL Atlantic,1819.0023319193435,1750.20452702202,2,8
2024_1235_1321,0.8410217060115643,1235,1321,Iowa St,Northwestern,1819.0023319193435,1665.7880515530726,2,9
2024_1179_1235,0.7348886452830928,1235,1179,Iowa St,Drake,1819.0023319193435,1764.0247090439525,2,10
2024_1182_1235,0.8470491433276368,1235,1182,Iowa St,Duquesne,1819.0023319193435,1658.8274891002904,2,11
2024_1235_1412,0.816639389716595,1235,1412,Iowa St,UAB,1819.0023319193435,1691.9488346004314,2,12
2024_1235_1463,0.8333181220166832,1235,1463,Iowa St,Yale,1819.0023319193435,1674.379477395046,2,13
2024_1235_1287,0.8853254311279192,1235,1287,Iowa St,Morehead St,1819.0023319193435,1608.3297936801964,2,14
2024_1235_1355,0.8929772922841716,1235,1355,Iowa St,S Dakota St,1819.0023319193435,1596.5247636870092,2,15
2024_1235_1391,0.9301344722857375,1235,1391,Iowa St,Stetson,1819.0023319193435,1525.5033531179756,2,16
2024_1235_1314,0.511977643320818,1235,1314,Iowa St,North Carolina,1819.0023319193435,1796.7183842336785,2,1
2024_1112_1235,0.517956359844082,1235,1112,Iowa St,Arizona,1819.0023319193435,1808.0799474914206,2,2
2024_1124_1235,0.6144867403337199,1235,1124,Iowa St,Baylor,1819.0023319193435,1763.136713391782,2,3
2024_1104_1235,0.6294570189625043,1235,1104,Iowa St,Alabama,1819.0023319193435,1768.457710582419,2,4
2024_1235_1388,0.6208682759861873,1235,1388,Iowa St,St Mary's CA,1819.0023319193435,1789.029061560117,2,5
2024_1155_1235,0.8052985948384719,1235,1155,Iowa St,Clemson,1819.0023319193435,1663.1965825094412,2,6
2024_1173_1235,0.7750142497021828,1235,1173,Iowa St,Dayton,1819.0023319193435,1705.9981956054135,2,7
2024_1235_1280,0.835236279957614,1235,1280,Iowa St,Mississippi St,1819.0023319193435,1662.2706153949302,2,8
2024_1235_1277,0.8420343159219266,1235,1277,Iowa St,Michigan St,1819.0023319193435,1664.6338684936895,2,9
2024_1235_1305,0.7796167947750801,1235,1305,Iowa St,Nevada,1819.0023319193435,1726.9563900095893,2,10
2024_1235_1307,0.8110536938364328,1235,1307,Iowa St,New Mexico,1819.0023319193435,1697.5534117279865,2,11
2024_1213_1235,0.7738207885311917,1235,1213,Iowa St,Grand Canyon,1819.0023319193435,1732.036634427032,2,12
2024_1158_1235,0.7683516971708249,1235,1158,Iowa St,Col Charleston,1819.0023319193435,1736.7465056472172,2,13
2024_1159_1235,0.8583466817311948,1235,1159,Iowa St,Colgate,1819.0023319193435,1645.1497388831576,2,14
2024_1235_1253,0.9253371882367257,1235,1253,Iowa St,Long Beach St,1819.0023319193435,1536.3838456317214,2,15
2024_1224_1235,0.950779867649762,1235,1224,Iowa St,Howard,1819.0023319193435,1468.9243119213404,2,16
2024_1235_1447,0.9595482497479554,1235,1447,Iowa St,Wagner,1819.0023319193435,1437.7070067970449,2,16
2024_1235_1345,0.3207103178794247,1235,1345,Iowa St,Purdue,1819.0023319193435,1918.0820619455849,2,1
2024_1235_1397,0.5374793265986539,1235,1397,Iowa St,Tennessee,1819.0023319193435,1796.1716166367228,2,2
2024_1166_1235,0.5970171471697177,1235,1166,Iowa St,Creighton,1819.0023319193435,1774.2572486824401,2,3
2024_1235_1242,0.5951581584866446,1235,1242,Iowa St,Kansas,1819.0023319193435,1790.430882041691,2,4
2024_1211_1235,0.5517290954257352,1235,1211,Iowa St,Gonzaga,1819.0023319193435,1832.4374644706545,2,5
2024_1235_1376,0.7541676001008558,1235,1376,Iowa St,South Carolina,1819.0023319193435,1708.6122694955204,2,6
2024_1235_1400,0.7501299408312015,1235,1400,Iowa St,Texas,1819.0023319193435,1726.9045336821805,2,7
2024_1235_1429,0.7283954528371535,1235,1429,Iowa St,Utah St,1819.0023319193435,1759.0517656316995,2,8
2024_1235_1395,0.8250314650387631,1235,1395,Iowa St,TCU,1819.0023319193435,1683.2736371228686,2,9
2024_1161_1235,0.8524196005997084,1235,1161,Iowa St,Colorado St,1819.0023319193435,1652.4336708176806,2,10
2024_1235_1438,0.8042409149739186,1235,1438,Iowa St,Virginia,1819.0023319193435,1704.2198489087848,2,10
2024_1235_1332,0.8125865390199096,1235,1332,Iowa St,Oregon,1819.0023319193435,1696.02823693555,2,11
2024_1235_1270,0.8911538875486724,1235,1270,Iowa St,McNeese St,1819.0023319193435,1599.4034076580233,2,12
2024_1235_1359,0.813859809346587,1235,1359,Iowa St,Samford,1819.0023319193435,1694.7540251390158,2,13
2024_1103_1235,0.8775718331091771,1235,1103,Iowa St,Akron,1819.0023319193435,1619.611866900276,2,14
2024_1235_1389,0.9282919968157596,1235,1389,Iowa St,St Peter's,1819.0023319193435,1529.7613899190612,2,15
2024_1212_1235,0.9313262965103981,1235,1212,Iowa St,Grambling,1819.0023319193435,1522.6933430845452,2,16
2024_1235_1286,0.9358368173729901,1235,1286,Iowa St,Montana St,1819.0023319193435,1511.6323516504287,2,16
2024_1222_1235,0.2752542288989971,1235,1222,Iowa St,Houston,1819.0023319193435,1951.160423382593,2,1
2024_1235_1266,0.4920711019936434,1235,1266,Iowa St,Marquette,1819.0023319193435,1823.8236033934306,2,2
2024_1235_1246,0.6360869625036353,1235,1246,Iowa St,Kentucky,1819.0023319193435,1749.1207241450747,2,3
2024_1181_1235,0.6305612163998907,1235,1181,Iowa St,Duke,1819.0023319193435,1767.737662533171,2,4
2024_1235_1458,0.7550374236315989,1235,1458,Iowa St,Wisconsin,1819.0023319193435,1692.8982739485298,2,5
2024_1235_1403,0.7329366225203041,1235,1403,Iowa St,Texas Tech,1819.0023319193435,1725.5441020131711,2,6
2024_1196_1235,0.7728807081862041,1235,1196,Iowa St,Florida,1819.0023319193435,1707.8518773217063,2,7
2024_1235_1304,0.8217400817099887,1235,1304,Iowa St,Nebraska,1819.0023319193435,1676.714063191751,2,8
2024_1235_1401,0.8113344965236656,1235,1401,Iowa St,Texas A&M,1819.0023319193435,1697.2747268986864,2,9
