SeedMatchup,n_games,n_upsets,upset_rate
6v11,60,31,0.5166666666666667
8v9,60,29,0.48333333333333334
3v11,28,12,0.42857142857142855
2v3,19,8,0.42105263157894735
7v10,59,23,0.3898305084745763
5v12,60,23,0.38333333333333336
1v2,21,8,0.38095238095238093
4v5,31,11,0.3548387096774194
3v6,25,8,0.32
1v5,19,6,0.3157894736842105
2v7,32,10,0.3125
1v4,29,8,0.27586206896551724
2v11,11,3,0.2727272727272727
2v10,21,5,0.23809523809523808
1v8,32,7,0.21875
4v13,60,12,0.2
4v12,19,3,0.15789473684210525
1v3,13,2,0.15384615384615385
3v14,60,8,0.13333333333333333
2v15,60,7,0.11666666666666667
1v9,28,3,0.10714285714285714
1v16,60,2,0.03333333333333333
