feature,correlation,p_value,abs_corr
Diff_MasseyVsSeedGap,0.8356,0.0,0.8355740886795435
Diff_MasseyImpliedSeed,0.5706,0.0,0.5705604153089734
Diff_NetEff,-0.4724,0.0,0.47235878717879526
Diff_DefFirstRatio,0.4711,0.0,0.47108337035377373
Diff_FullSeasonWinPct,-0.4401,0.0,0.4400777019128833
Diff_OffEff,-0.3758,0.0,0.37577862510405446
Diff_DefEff,0.282,0.0,0.281965292014013
Diff_RecentMomentum,0.2357,0.0,0.23572759278000366
Diff_TOV_pct,0.2217,0.0,0.22170456797325544
Diff_eFG_pct,-0.198,0.0,0.1979925800435648
Diff_ORB_pct,-0.0844,0.0093,0.08438977337885768
Diff_Pace,-0.0617,0.0576,0.06168177007009175
Diff_ThreePtReliance,0.0615,0.0584,0.06150477548211352
Diff_FTRate,-0.0071,0.8261,0.0071471182263619926
